topic_pattern,region,answer_template,url,priority,notes
"hydrogen|hydrogen services",na,"Yes — Jensen Hughes offers hydrogen services. Here's the page: https://www.jensenhughes.com/services/hydrogen-services.",https://www.jensenhughes.com/services/hydrogen-services,1,"V6 Rule 10 topic-routing"
"hazardous materials|hazmat",na,"Yes — Jensen Hughes offers hazardous materials consulting. Here's the page: https://www.jensenhughes.com/services/hazardous-materials.",https://www.jensenhughes.com/services/hazardous-materials,1,"V6 Rule 10 topic-routing"
"wildfire|WUI|wildland-urban interface",na,"Yes — Jensen Hughes offers wildfire risk mitigation. Here's the page: https://www.jensenhughes.com/services/wildfire-risk-mitigation.",https://www.jensenhughes.com/services/wildfire-risk-mitigation,1,"V6 Rule 10 topic-routing"
"mass timber",na,"Yes — Jensen Hughes offers mass timber consulting. Here's the page: https://www.jensenhughes.com/services/mass-timber-consulting.",https://www.jensenhughes.com/services/mass-timber-consulting,1,"V6 Rule 10 topic-routing"
"smoke control|smoke modeling",na,"Yes — Jensen Hughes offers smoke control and tunnel modeling. Here's the page: https://www.jensenhughes.com/services/fire-smoke-tunnel-modeling.",https://www.jensenhughes.com/services/fire-smoke-tunnel-modeling,1,"V6 Rule 10 topic-routing"
"sprinkler design|fire suppression|fire alarm",na,"Yes — Jensen Hughes offers fire suppression systems design (sprinklers, alarms). Here's the page: https://www.jensenhughes.com/services/fire-suppression-systems-design.",https://www.jensenhughes.com/services/fire-suppression-systems-design,1,"V6 Rule 10 topic-routing"
"PBD|performance based design",na,"Yes — Jensen Hughes offers performance-based design through our Fire Engineering practice. Here's the page: https://www.jensenhughes.com/services/fire-engineering-systems-design.",https://www.jensenhughes.com/services/fire-engineering-systems-design,1,"V6 Rule 10 topic-routing"
"AHJ|authority having jurisdiction",na,"Yes — Jensen Hughes offers AHJ representation and plan review. Here's the page: https://www.jensenhughes.com/services/ahj-representation-plan-review.",https://www.jensenhughes.com/services/ahj-representation-plan-review,1,"V6 Rule 10 topic-routing"
"digital solutions|DataAdvisr|ProtectAdvisr|cybersecurity",na,"Yes — Jensen Hughes offers digital solutions. Here's the page: https://www.jensenhughes.com/services/digital.",https://www.jensenhughes.com/services/digital,1,"V6 Rule 10 — URL slug fix"
"BIM|BIMfire|BIM fire",global,"Yes — Jensen Hughes offers BIMfire integrated fire safety design. Here's the article: https://www.jensenhughes.com/insights/incorporating-bimfire-into-jensen-hughes-fire-safety-design.",https://www.jensenhughes.com/insights/incorporating-bimfire-into-jensen-hughes-fire-safety-design,1,"V6 Rule 6 hardcoded — bimfire one word"
"podcast|podcasts|forensics uncovered",na,"Yes — Jensen Hughes has a podcast, Forensics Uncovered. Here's the page: https://www.jensenhughes.com/podcasts/forensics-uncovered-podcast.",https://www.jensenhughes.com/podcasts/forensics-uncovered-podcast,1,"V6 Rule 10 topic-routing"
"careers|hiring|jobs|job openings|apply",na,"Yes — Jensen Hughes is hiring. Browse open positions on our careers page: https://www.jensenhughes.com/careers.",https://www.jensenhughes.com/careers,1,"V6 Rule 9 careers on-topic + Rule 13 region scope"
"careers|hiring|jobs|job openings|apply",europe,"Yes — Jensen Hughes is hiring in Europe. Browse open positions: https://www.jensenhughes.com/europe/careers.",https://www.jensenhughes.com/europe/careers,1,"Regional careers"
"careers|hiring|jobs|job openings|apply",pacific,"Yes — Jensen Hughes is hiring in Pacific. Browse open positions: https://www.jensenhughes.com/pacific/careers.",https://www.jensenhughes.com/pacific/careers,1,"Regional careers"
"careers|hiring|jobs|job openings|apply",asia,"Yes — Jensen Hughes is hiring in Asia. Browse open positions: https://www.jensenhughes.com/asia/careers.",https://www.jensenhughes.com/asia/careers,1,"Regional careers"
"careers|hiring|jobs|job openings|apply",middle_east,"Yes — Jensen Hughes is hiring in Middle East + India. Browse open positions: https://www.jensenhughes.com/middle-east/careers.",https://www.jensenhughes.com/middle-east/careers,1,"Regional careers"
"contact|contact us|get in touch",na,"Contact Jensen Hughes by email at info@jensenhughes.com or by phone at (410) 737-8677. Office locations: https://www.jensenhughes.com/contact-us.",https://www.jensenhughes.com/contact-us,1,"V6 IDENTITY fallback"
"contact|contact us|get in touch",europe,"Contact Jensen Hughes Europe: https://www.jensenhughes.com/europe/contact-us. Or email info@jensenhughes.com.",https://www.jensenhughes.com/europe/contact-us,1,"Regional contact"
"contact|contact us|get in touch",pacific,"Contact Jensen Hughes Pacific via our office locations page: https://www.jensenhughes.com/pacific/contact/office-locations. Or email info@jensenhughes.com.",https://www.jensenhughes.com/pacific/contact/office-locations,1,"Regional contact. NOTE: Pacific does NOT have a /pacific/contact-us page (verified 2026-05-20 — 404). Uses /pacific/contact/office-locations instead."
"contact|contact us|get in touch",asia,"Contact Jensen Hughes Asia: https://www.jensenhughes.com/asia/contact-us. Or email info@jensenhughes.com.",https://www.jensenhughes.com/asia/contact-us,1,"Regional contact"
"contact|contact us|get in touch",middle_east,"Contact Jensen Hughes Middle East + India: https://www.jensenhughes.com/middle-east/contact-us. Or email info@jensenhughes.com.",https://www.jensenhughes.com/middle-east/contact-us,1,"Regional contact"
"about|who is|company|history",global,"Jensen Hughes is a global engineering and consulting firm founded in 1939, headquartered in Columbia, MD. ~1,900 employees across 100+ offices in 100+ countries. Learn more: https://www.jensenhughes.com/about.",https://www.jensenhughes.com/about,2,"V6 IDENTITY — global facts. Correct slug is /about (not /about-us, verified 2026-05-20)"
"office locations|all offices|find office",global,"Jensen Hughes has 97+ offices worldwide. Browse the full list with phone numbers and addresses: https://www.jensenhughes.com/contact/office-locations.",https://www.jensenhughes.com/contact/office-locations,1,"V6 Rule 3 disambig fallback"
"individual email|personal email|staff email",global,"I can't share individual contact info. For general inquiries, email info@jensenhughes.com or visit https://www.jensenhughes.com/contact-us.",https://www.jensenhughes.com/contact-us,1,"V6 Rule 7 privacy refusal verbatim"
"price|cost|how much|pricing|fee|quote|estimate|budget",global,"I'm focused on Jensen Hughes' services, offices, and capabilities. How can I help you with our fire engineering, forensics, accessibility, security, risk consulting, or emergency management?",,1,"V6.8 Rule 9 pricing refusal"
"joke|tell me a joke|be funny",global,"I'm focused on Jensen Hughes' services, offices, and capabilities. How can I help you with our fire engineering, forensics, accessibility, security, risk consulting, or emergency management?",,1,"V6 Rule 9 off-topic refusal"
"weather|temperature|forecast",global,"I'm focused on Jensen Hughes' services, offices, and capabilities. How can I help you with our fire engineering, forensics, accessibility, security, risk consulting, or emergency management?",,1,"V6 Rule 9 off-topic refusal"
